id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
ts396767,The Trunk,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts381428,Flex x Cop,2024,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts400490,Sejak,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts444112,Yakuza Fiancé: Raise wa Tanin ga Ii,2024,show,1,true,true,false,false,Crunchyroll,BUY|FLATRATE
ts384161,Doctor Slump,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts361082,Blue Box,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts368709,Frankly Speaking,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts106330,The Tattooist of Auschwitz,2024,show,1,true,true,false,false,Peacock,FLATRATE
tm534055,Skin in the Game,2024,movie,1,true,true,false,false,Amazon Prime Video,ADS|BUY|FLATRATE|FREE|RENT
tm464462,Portraits,2024,movie,0,false,false,true,false,,ADS|BUY|FREE|RENT
tm1133934,Dune: Part Two,2024,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm1003750,Furiosa: A Mad Max Saga,2024,movie,3,true,false,false,false,Acorn TV|Cinemax|Max,BUY|CINEMA|FLATRATE|RENT
tm1314896,Gladiator II,2024,movie,3,true,false,false,false,Amazon Prime Video|MGM+|Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1505434,The Return,2024,movie,1,true,true,false,false,Paramount+,BUY|CINEMA|FLATRATE|FREE|RENT
tm1408906,Arthur the King,2024,movie,2,true,false,false,false,Peacock|Starz,ADS|BUY|FLATRATE|RENT
tm1482831,Homestead,2024,movie,1,true,true,false,false,Angel Studios,BUY|CINEMA|FLATRATE|RENT
tm1433599,Air Force One Down,2024,movie,1,true,true,false,false,Amazon Prime Video,ADS|BUY|CINEMA|FLATRATE|RENT
